person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,71000,0,8.0,1,1,3500,11.49,0,0.05,0,2
22,46000,3,4.0,1,0,5000,7.88,0,0.11,0,2
23,70000,3,4.0,1,0,6000,7.49,0,0.09,0,2
21,30000,3,2.0,5,1,7000,10.99,0,0.23,0,3
21,57000,3,0.0,1,2,10800,13.22,0,0.19,0,3
29,85000,0,9.0,5,1,20000,10.38,0,0.24,0,9
30,80004,3,2.0,0,1,10000,12.21,1,0.12,0,6
28,56000,2,10.0,2,2,12000,14.72,0,0.21,1,7
23,33195,3,5.0,3,1,1800,11.99,0,0.05,0,3
24,25000,3,2.0,3,1,9000,11.48,1,0.36,0,2
21,37200,3,2.0,0,1,6000,11.71,0,0.16,0,4
26,87000,3,6.0,3,0,15000,5.99,0,0.17,0,2
25,39000,2,2.0,2,3,4400,14.84,0,0.11,0,2
33,42000,0,5.0,1,0,9000,5.79,0,0.21,0,5
21,25000,2,0.0,1,1,8800,9.33,0,0.35,0,3
27,132000,3,2.0,2,1,15000,11.12,0,0.11,0,5
38,107004,0,11.0,5,1,15000,10.0,0,0.14,0,16
25,33996,3,8.0,3,4,1500,16.82,1,0.04,0,4
30,130000,0,14.0,5,1,4000,10.99,0,0.03,0,6
24,39000,3,8.0,4,3,7000,14.42,1,0.18,0,4
40,48000,0,2.0,2,3,8000,15.95,0,0.17,0,11
21,27000,3,5.0,5,0,5000,5.42,0,0.19,0,3
32,139200,0,5.0,1,0,6000,7.9,0,0.04,0,5
31,60682,3,3.0,5,0,8650,8.49,0,0.14,0,8
23,110000,3,0.0,4,1,22000,10.99,0,0.2,0,3
25,44000,0,9.0,0,0,9800,7.49,1,0.22,0,4
28,90000,0,7.0,1,0,12000,8.32,0,0.13,0,8
25,83000,3,3.0,1,1,9600,10.99,0,0.12,0,2
33,30000,0,17.0,2,0,10000,5.79,0,0.33,0,6
29,39000,3,0.0,5,3,4000,15.99,1,0.1,1,5
34,35000,3,3.0,3,2,10600,15.96,0,0.3,0,10
35,148000,0,19.0,0,3,25000,14.62,1,0.17,1,10
33,42597,3,5.0,5,1,9000,10.37,0,0.21,0,5
27,30000,3,0.0,4,2,10000,12.68,1,0.33,0,9
21,14400,3,2.0,3,2,3000,13.43,1,0.21,1,3
23,48000,0,8.0,5,0,10500,7.51,0,0.22,0,2
22,61547,2,1.0,1,3,24250,14.96,0,0.39,1,3
34,60000,0,18.0,1,1,3000,11.99,1,0.05,0,10
22,46976,2,5.0,4,2,11000,14.26,0,0.23,1,2
26,28700,3,6.0,3,3,8500,13.55,1,0.3,1,3
26,100000,0,10.0,0,0,12000,5.99,0,0.12,0,2
27,25000,3,1.0,1,0,5600,7.9,0,0.22,0,8
25,62165,3,2.0,3,3,10800,15.65,1,0.15,1,4
29,72500,3,1.0,4,0,7000,7.29,0,0.1,0,5
25,55000,3,0.0,1,2,8400,13.72,0,0.15,0,3
22,20000,2,1.0,5,2,5000,14.72,0,0.25,0,3
30,33000,0,0.0,0,2,3000,11.66,0,0.09,0,8
29,46000,3,4.0,3,1,12000,10.74,0,0.26,0,10
24,83500,3,1.0,1,2,20000,13.48,0,0.24,0,3
26,65000,3,7.0,1,3,6000,16.49,0,0.09,1,2
30,29000,3,2.0,4,3,6000,15.58,1,0.21,1,8
22,88512,0,6.0,1,0,3000,5.79,0,0.03,0,2
23,90000,3,4.0,5,0,10000,7.51,0,0.11,0,2
23,38500,3,8.0,0,0,12800,8.9,1,0.33,0,4
22,30000,3,6.0,3,0,8000,5.42,0,0.27,0,4
29,120000,3,3.0,0,0,15000,9.63,0,0.13,0,6
24,100000,0,5.0,4,1,14000,10.75,0,0.14,0,3
25,100000,0,9.0,4,1,17600,10.59,0,0.18,0,3
26,35000,0,1.0,5,0,3000,6.76,0,0.09,0,3
35,90000,0,3.0,3,0,14500,6.54,0,0.16,0,10
30,100000,0,0.0,4,3,30000,16.77,0,0.3,1,6
42,55000,0,1.0,5,1,16500,12.69,0,0.3,0,11
27,31200,3,0.0,3,0,6000,9.63,0,0.19,0,8
27,25200,3,0.0,5,2,2550,14.27,0,0.1,0,5
26,52703,0,5.0,3,1,4000,11.89,1,0.06,0,4
31,54400,0,1.0,3,3,27050,14.54,1,0.42,0,7
23,90000,0,6.0,4,1,15000,9.99,1,0.17,0,3
32,82000,0,4.0,1,3,8000,16.89,0,0.1,0,8
23,55000,0,7.0,0,0,7500,7.51,0,0.14,0,4
34,54000,3,5.0,3,3,3000,15.37,1,0.06,1,6
34,55000,0,6.0,1,2,5000,13.43,0,0.09,1,10
23,120000,0,7.0,0,0,3750,5.42,0,0.03,0,3
41,57600,3,6.0,4,0,8000,6.03,0,0.14,0,12
22,56004,0,6.0,3,1,6000,11.86,0,0.11,0,3
23,50000,0,5.0,0,0,6000,7.66,0,0.12,0,4
34,80000,0,4.0,2,4,12000,10.99,0,0.15,0,10
29,64000,3,3.0,1,2,15000,15.27,1,0.23,0,6
35,33000,3,2.0,5,2,7600,15.27,0,0.23,0,6
44,36000,3,6.0,5,3,4000,15.2,0,0.11,0,12
24,53000,0,0.0,2,3,7200,14.42,0,0.14,0,3
25,84000,0,8.0,3,1,8500,11.83,0,0.1,0,4
24,30000,3,0.0,1,0,12000,6.91,1,0.4,0,3
24,73440,0,7.0,2,0,7000,6.99,0,0.1,0,4
22,48996,3,4.0,1,2,10000,12.87,0,0.2,0,2
21,57000,2,5.0,5,1,8000,10.65,0,0.14,0,2
27,72000,0,11.0,1,1,12500,11.89,0,0.17,0,8
55,51000,3,2.0,4,0,8000,5.79,0,0.16,0,26
30,130000,0,8.0,5,1,27000,11.71,0,0.21,0,6
31,75000,0,3.0,1,1,12000,10.38,0,0.16,0,10
22,50000,0,0.0,4,1,2500,12.18,0,0.05,0,4
32,50004,3,5.0,1,3,2200,15.65,0,0.04,1,9
28,55000,3,3.0,3,1,6000,10.74,0,0.11,0,8
23,65000,3,7.0,1,1,7000,10.75,0,0.11,0,4
28,131040,0,0.0,3,2,10000,13.35,0,0.08,1,7
24,50400,3,8.0,0,0,1500,10.99,0,0.03,0,2
24,35000,3,2.0,3,1,16000,11.71,1,0.46,0,3
24,63000,0,8.0,4,2,11400,13.79,0,0.18,0,4
27,36600,0,6.0,5,0,5000,5.42,0,0.14,0,5
22,50000,3,0.0,1,0,9200,6.92,0,0.18,0,4
22,24000,3,1.0,1,2,2000,13.11,0,0.08,1,4
21,40800,3,3.0,3,3,12000,15.21,1,0.29,0,2
22,30000,3,4.0,1,2,10000,14.35,1,0.33,0,3
24,22044,3,3.0,2,4,4375,16.4,1,0.2,1,3
27,140000,2,12.0,5,1,24100,11.83,0,0.17,0,10
29,65000,0,2.0,3,0,4800,10.99,0,0.07,0,5
27,16800,3,3.0,0,1,6500,11.99,1,0.39,0,8
42,32000,3,5.0,4,1,10000,11.71,1,0.31,0,11
34,39996,3,6.0,0,0,1200,7.88,0,0.03,0,8
48,92000,3,6.0,0,1,16500,12.69,0,0.18,0,15
27,64000,0,11.0,3,1,3500,11.99,0,0.05,0,8
24,45996,3,9.0,4,1,3500,12.21,1,0.08,0,2
26,48000,0,7.0,3,0,10000,10.99,0,0.21,0,3
26,125000,0,6.0,2,0,16000,8.94,0,0.13,0,4
23,25000,3,1.0,4,0,7100,7.9,0,0.28,0,2
27,144000,0,4.0,0,2,21000,13.57,0,0.15,1,8
24,35000,3,4.0,1,0,1850,7.12,0,0.05,0,2
35,52000,2,3.0,5,1,10400,9.99,0,0.2,0,7
24,39000,3,0.0,3,3,3000,14.61,1,0.08,1,4
24,26400,3,4.0,3,2,4000,13.72,0,0.15,0,2
32,37000,0,11.0,2,1,12000,11.86,0,0.32,0,9
32,54000,0,16.0,4,0,11200,6.03,0,0.21,0,9
22,41600,0,2.0,1,3,3000,15.05,0,0.07,0,3
29,45000,2,4.0,5,1,20000,10.62,0,0.44,0,6
24,39000,3,8.0,3,3,1500,15.62,0,0.04,1,3
23,62050,3,1.0,3,4,17800,16.35,1,0.24,1,3
30,40000,3,6.0,3,0,2400,8.49,0,0.06,0,10
38,110000,0,5.0,4,1,16000,11.99,0,0.15,0,17
23,83300,0,0.0,3,3,25000,10.99,1,0.26,0,3
33,97000,3,4.0,1,2,7000,12.98,0,0.07,1,8
26,53000,0,3.0,5,0,2800,6.03,0,0.05,0,3
24,60000,3,5.0,1,1,3500,11.86,0,0.06,0,4
36,51996,2,7.0,2,1,8500,11.49,0,0.16,0,16
22,75000,0,6.0,1,1,14825,12.69,0,0.2,0,3
37,39960,2,21.0,4,0,5600,6.54,0,0.14,0,16
39,26000,3,11.0,0,0,11000,8.59,1,0.42,0,12
24,74337,3,8.0,4,1,16000,11.86,0,0.22,0,3
25,52000,3,5.0,3,1,19000,10.99,1,0.37,0,4
24,75000,0,6.0,5,1,25000,10.99,0,0.33,0,2
21,50000,3,4.0,1,1,11000,10.0,0,0.22,0,3
23,34800,3,0.0,3,1,7000,11.99,1,0.2,0,2
22,43000,0,6.0,1,1,9000,11.71,0,0.21,0,4
21,87500,0,5.0,4,2,25000,13.98,0,0.29,1,3
22,35004,0,0.0,5,1,8400,10.39,0,0.24,0,2
25,55000,0,2.0,1,4,14000,15.68,0,0.25,1,4
24,44000,3,6.0,5,1,18000,12.18,1,0.41,0,2
27,69960,0,3.0,4,0,10000,10.99,0,0.14,0,9
27,56000,3,5.0,2,1,20000,12.18,1,0.36,0,10
35,67500,3,3.0,3,1,10000,10.65,0,0.15,0,7
27,27900,3,3.0,3,0,10625,7.9,1,0.38,0,5
24,79000,3,9.0,0,3,25000,14.96,1,0.32,1,4
24,86700,3,2.0,1,0,11200,10.99,0,0.13,0,4
28,48096,3,4.0,0,4,1200,17.56,1,0.02,1,5
24,60000,3,1.0,5,1,14525,10.99,0,0.24,0,4
26,67000,0,4.0,3,0,10400,8.9,0,0.16,0,4
27,21403,0,2.0,2,1,2100,11.12,0,0.1,0,7
34,55000,0,4.0,1,2,7000,13.49,0,0.13,0,7
21,15000,2,0.0,2,2,3175,11.54,1,0.21,1,3
24,97750,0,0.0,3,4,24000,17.39,1,0.21,1,3
31,85000,3,0.0,4,1,25000,11.89,0,0.29,0,6
27,45000,0,7.0,4,0,12000,6.91,0,0.27,0,8
22,93000,0,6.0,3,0,3600,7.9,0,0.04,0,3
33,45000,3,4.0,3,0,12000,7.88,0,0.27,0,6
23,60000,0,0.0,1,1,10000,11.26,0,0.17,0,3
22,80000,0,3.0,0,0,6000,7.4,0,0.07,0,3
50,36996,3,6.0,0,2,3800,12.53,0,0.1,0,15
28,74000,2,12.0,5,3,5450,12.67,0,0.07,1,6
28,44000,3,9.0,5,2,1000,14.17,1,0.02,0,9
23,97000,0,0.0,4,4,15000,16.4,0,0.15,1,3
39,30000,3,3.0,0,2,2300,14.79,0,0.08,1,15
23,91000,3,2.0,1,2,16000,14.22,0,0.18,1,3
26,21600,3,9.0,5,1,7200,10.38,1,0.33,0,3
30,72000,0,3.0,3,2,9000,14.22,0,0.13,1,6
23,22800,3,5.0,0,0,1775,6.99,0,0.08,0,2
22,70000,3,4.0,1,2,27500,13.06,1,0.39,1,3
23,43236,2,1.0,5,2,18000,12.87,0,0.42,0,2
33,42000,3,0.0,3,0,8000,5.99,0,0.19,0,7
22,57800,3,6.0,0,2,11200,13.16,1,0.19,0,3
22,89800,0,6.0,5,1,20000,12.53,0,0.22,0,3
27,40000,3,4.0,5,3,10000,10.99,0,0.25,1,10
22,54996,3,0.0,1,2,5000,12.54,0,0.09,1,3
21,62467,3,0.0,3,1,6500,10.99,0,0.1,0,4
26,60996,3,6.0,2,2,3000,12.22,0,0.05,1,4
38,85000,3,1.0,5,1,14400,11.99,0,0.17,0,14
31,36000,3,3.0,0,0,6000,8.9,0,0.17,0,9
28,17544,0,2.0,1,0,1500,8.63,0,0.09,0,10
36,32000,0,6.0,0,1,12000,10.37,0,0.38,0,11
22,53819,3,2.0,1,0,6000,7.42,0,0.11,0,3
23,33000,3,4.0,5,1,18000,9.91,1,0.55,0,4
22,38000,0,2.0,3,1,8000,9.99,0,0.21,0,3
38,150000,0,5.0,3,1,12000,11.14,0,0.08,0,17
24,40000,3,3.0,1,0,6000,6.62,0,0.15,0,3
23,60000,2,8.0,1,0,20000,7.49,0,0.33,0,3
22,89000,0,6.0,5,2,16000,13.22,0,0.18,0,2
58,43500,3,4.0,1,3,1800,14.96,0,0.04,1,21
25,100000,0,2.0,5,2,16000,14.79,0,0.16,1,2
36,89004,3,2.0,4,1,1500,11.36,0,0.02,0,14
25,26400,0,1.0,2,0,7500,8.9,0,0.28,0,3
24,36000,2,0.0,5,2,4000,13.06,0,0.11,1,3
25,60000,3,9.0,1,1,20000,10.99,1,0.33,0,3
29,105000,3,6.0,2,0,30000,5.99,0,0.29,0,8
23,30000,3,7.0,4,2,5000,14.17,1,0.17,1,3
28,58600,1,1.0,2,0,4550,8.0,0,0.08,0,8
21,40000,3,5.0,1,0,10000,10.99,0,0.25,0,2
30,125000,0,5.0,3,0,8000,7.74,0,0.06,0,10
34,78000,3,0.0,0,0,16800,7.37,0,0.22,0,5
31,84000,0,2.0,1,3,10400,14.96,0,0.12,0,7
22,125004,1,6.0,5,3,10000,14.74,0,0.08,0,2
33,84996,3,2.0,1,0,4000,8.59,0,0.05,0,6
29,69996,3,0.0,1,1,2400,11.11,0,0.03,0,6
22,44000,0,6.0,3,0,5000,5.42,1,0.11,0,4
25,38400,3,3.0,0,1,15000,10.65,1,0.39,0,2
22,54000,0,6.0,4,0,7000,8.94,0,0.13,0,2
21,24996,3,6.0,0,2,6000,13.61,0,0.24,0,2
25,29000,3,2.0,5,2,2500,12.84,1,0.09,0,3
36,39996,3,1.0,3,0,5700,7.29,0,0.14,0,13
25,60000,0,7.0,1,3,12000,16.77,0,0.2,0,4
23,24000,3,7.0,5,2,5550,12.53,0,0.23,1,4
22,30000,3,0.0,4,1,5000,11.49,0,0.17,0,4
27,61500,0,3.0,2,1,6000,10.99,0,0.1,0,7
21,28692,0,5.0,1,1,3000,10.75,0,0.1,0,2
23,118000,0,4.0,5,2,12000,13.11,0,0.1,0,2
35,52000,3,2.0,3,1,3000,11.48,0,0.06,0,6
22,41000,3,6.0,5,0,5000,10.99,0,0.12,0,2
24,24000,3,3.0,5,1,10000,8.7,1,0.42,0,2
33,100000,2,3.0,3,1,25000,12.18,0,0.25,0,10
22,48996,1,3.0,0,3,10000,14.11,1,0.2,0,4
31,55000,0,9.0,0,0,8000,7.49,0,0.15,0,9
23,88000,3,5.0,3,1,9000,10.99,0,0.1,0,2
29,41004,3,6.0,4,1,12000,10.0,0,0.29,0,7
24,15600,2,5.0,2,0,3300,6.39,1,0.21,0,4
26,150000,3,3.0,4,0,12000,7.9,0,0.08,0,3
27,77200,3,0.0,0,1,5425,10.59,1,0.07,0,9
33,43200,3,6.0,0,0,11350,7.88,0,0.26,0,7
31,36000,3,4.0,3,2,4000,13.8,0,0.11,1,9
25,116000,3,5.0,0,2,10000,14.26,0,0.09,1,4
34,69000,3,0.0,1,3,12800,15.7,1,0.19,0,10
27,22800,3,5.0,4,2,3500,13.99,1,0.15,1,10
30,54000,3,2.0,0,3,16200,15.57,1,0.3,0,10
23,83954,3,7.0,1,0,6000,10.99,0,0.07,0,2
24,38112,3,2.0,4,0,6800,7.68,0,0.18,0,3
22,54000,3,4.0,0,2,9000,15.96,0,0.17,1,3
28,100000,0,0.0,5,2,18000,13.99,0,0.18,1,6
23,63719,0,0.0,3,0,3500,7.9,1,0.05,0,3
26,27000,3,1.0,3,1,5800,10.65,0,0.21,0,3
27,28500,0,6.0,5,0,2600,7.74,0,0.09,0,7
27,30000,3,5.0,4,1,4975,10.37,0,0.17,0,9
36,132000,3,3.0,2,0,10200,7.51,0,0.08,0,13
28,144000,0,12.0,4,0,30000,10.99,0,0.21,0,5
24,40000,3,3.0,1,0,3500,7.9,0,0.09,0,4
28,10000,3,12.0,1,1,3000,10.99,1,0.3,0,8
35,60350,0,15.0,3,4,25000,16.82,1,0.35,0,5
29,66996,0,1.0,4,0,9000,8.94,0,0.13,0,7
22,65500,3,4.0,1,1,17600,10.74,0,0.27,0,2
32,82350,3,16.0,3,1,4000,9.91,0,0.05,0,9
25,54000,0,2.0,2,0,13000,6.92,0,0.24,0,4
28,45000,3,6.0,3,3,3600,16.29,0,0.08,0,7
26,80000,0,10.0,2,0,7000,6.03,0,0.09,0,4
22,32000,2,1.0,3,1,1200,9.96,0,0.04,0,2
25,44000,3,1.0,3,3,8000,12.92,1,0.18,0,4
25,49000,3,10.0,1,0,9600,7.51,1,0.2,0,2
28,47515,3,5.0,1,3,3200,15.7,0,0.07,1,7
23,33000,3,4.0,1,2,8000,10.99,0,0.24,1,4
42,60000,0,4.0,2,1,8850,10.37,0,0.15,0,16
28,145656,0,2.0,0,1,10000,10.37,1,0.07,0,7
25,52000,0,3.0,4,0,6000,8.49,0,0.12,0,3
29,150000,0,0.0,2,2,10700,14.22,0,0.07,0,9
23,29000,3,0.0,0,0,1600,7.88,1,0.06,0,3
26,130000,0,5.0,4,3,35000,18.25,0,0.27,1,4
23,54000,3,4.0,1,2,11200,13.99,0,0.21,1,2
28,66300,0,11.0,3,3,12000,14.11,1,0.15,0,6
